Data;Selic 
26/05/2025;0,054266
27/05/2025;0,054266
28/05/2025;0,054266
29/05/2025;0,054266
30/05/2025;0,054266
02/06/2025;0,054266
03/06/2025;0,054266
04/06/2025;0,054266
05/06/2025;0,054266
06/06/2025;0,054266
09/06/2025;0,054266
10/06/2025;0,054266
11/06/2025;0,054266
12/06/2025;0,054266
13/06/2025;0,054266
16/06/2025;0,054266
17/06/2025;0,054266
18/06/2025;0,054266
20/06/2025;0,055131
23/06/2025;0,055131
24/06/2025;0,055131
25/06/2025;0,055131
26/06/2025;0,055131
27/06/2025;0,055131
30/06/2025;0,055131
01/07/2025;0,055131
02/07/2025;0,055131
03/07/2025;0,055131
04/07/2025;0,055131
07/07/2025;0,055131
08/07/2025;0,055131
09/07/2025;0,055131
10/07/2025;0,055131
11/07/2025;0,055131
14/07/2025;0,055131
15/07/2025;0,055131
16/07/2025;0,055131
17/07/2025;0,055131
18/07/2025;0,055131
21/07/2025;0,055131
22/07/2025;0,055131
23/07/2025;0,055131
24/07/2025;0,055131
25/07/2025;0,055131
28/07/2025;0,055131
29/07/2025;0,055131
30/07/2025;0,055131
31/07/2025;0,055131
01/08/2025;0,055131
04/08/2025;0,055131
05/08/2025;0,055131
06/08/2025;0,055131
07/08/2025;0,055131
08/08/2025;0,055131
11/08/2025;0,055131
12/08/2025;0,055131
13/08/2025;0,055131
14/08/2025;0,055131
15/08/2025;0,055131
18/08/2025;0,055131
19/08/2025;0,055131
20/08/2025;0,055131
21/08/2025;0,055131
22/08/2025;0,055131
25/08/2025;0,055131
26/08/2025;0,055131
27/08/2025;0,055131
28/08/2025;0,055131
29/08/2025;0,055131
01/09/2025;0,055131
02/09/2025;0,055131
03/09/2025;0,055131
04/09/2025;0,055131
05/09/2025;0,055131
08/09/2025;0,055131
09/09/2025;0,055131
10/09/2025;0,055131
11/09/2025;0,055131
12/09/2025;0,055131
15/09/2025;0,055131
16/09/2025;0,055131
17/09/2025;0,055131
18/09/2025;0,055131
19/09/2025;0,055131
22/09/2025;0,055131
23/09/2025;0,055131
24/09/2025;0,055131
25/09/2025;0,055131
26/09/2025;0,055131
29/09/2025;0,055131
30/09/2025;0,055131
01/10/2025;0,055131
02/10/2025;0,055131
03/10/2025;0,055131
06/10/2025;0,055131
07/10/2025;0,055131
08/10/2025;0,055131
09/10/2025;0,055131
10/10/2025;0,055131
13/10/2025;0,055131
14/10/2025;0,055131
15/10/2025;0,055131
16/10/2025;0,055131
17/10/2025;0,055131
20/10/2025;0,055131
21/10/2025;0,055131
22/10/2025;0,055131
23/10/2025;0,055131
24/10/2025;0,055131
27/10/2025;0,055131
28/10/2025;0,055131
29/10/2025;0,055131
30/10/2025;0,055131
31/10/2025;0,055131
03/11/2025;0,055131
04/11/2025;0,055131
05/11/2025;0,055131
06/11/2025;0,055131
07/11/2025;0,055131
10/11/2025;0,055131
11/11/2025;0,055131
12/11/2025;0,055131
13/11/2025;0,055131
14/11/2025;0,055131
17/11/2025;0,055131
18/11/2025;0,055131
19/11/2025;0,055131
21/11/2025;0,055131
24/11/2025;0,055131
25/11/2025;0,055131
26/11/2025;0,055131
27/11/2025;0,055131
28/11/2025;0,055131
01/12/2025;0,055131
02/12/2025;0,055131
03/12/2025;0,055131
04/12/2025;0,055131
05/12/2025;0,055131
08/12/2025;0,055131
09/12/2025;0,055131
10/12/2025;0,055131
11/12/2025;0,055131
12/12/2025;0,055131
15/12/2025;0,055131
16/12/2025;0,055131
